date,sales,sales_adj
1/1/1992,1509,1713
2/1/1992,1541,1763
3/1/1992,1597,1753
4/1/1992,1675,1784
5/1/1992,1822,1783
6/1/1992,1775,1782
7/1/1992,1912,1790
8/1/1992,1862,1845
9/1/1992,1770,1836
10/1/1992,1882,1854
11/1/1992,1831,1853
12/1/1992,2511,1856
1/1/1993,1614,1840
2/1/1993,1529,1836
3/1/1993,1678,1814
4/1/1993,1713,1792
5/1/1993,1796,1791
6/1/1993,1792,1796
7/1/1993,1950,1799
8/1/1993,1777,1786
9/1/1993,1707,1767
10/1/1993,1757,1768
11/1/1993,1782,1780
12/1/1993,2443,1773
1/1/1994,1548,1796
2/1/1994,1505,1809
3/1/1994,1714,1825
4/1/1994,1757,1832
5/1/1994,1830,1858
6/1/1994,1857,1844
7/1/1994,1981,1862
8/1/1994,1858,1840
9/1/1994,1823,1864
10/1/1994,1806,1852
11/1/1994,1845,1839
12/1/1994,2577,1841
1/1/1995,1555,1832
2/1/1995,1501,1802
3/1/1995,1725,1810
4/1/1995,1699,1817
5/1/1995,1807,1809
6/1/1995,1863,1818
7/1/1995,1886,1808
8/1/1995,1861,1830
9/1/1995,1845,1877
10/1/1995,1788,1866
11/1/1995,1879,1859
12/1/1995,2598,1888
1/1/1996,1679,1950
2/1/1996,1652,1908
3/1/1996,1837,1930
4/1/1996,1798,1931
5/1/1996,1957,1907
6/1/1996,1958,1954
7/1/1996,2034,1960
8/1/1996,2062,1955
9/1/1996,1781,1917
10/1/1996,1860,1902
11/1/1996,1992,1914
12/1/1996,2547,1904
1/1/1997,1706,1939
2/1/1997,1621,1939
3/1/1997,1853,1973
4/1/1997,1817,1962
5/1/1997,2060,1977
6/1/1997,2002,2039
7/1/1997,2098,2017
8/1/1997,2079,2009
9/1/1997,1892,2024
10/1/1997,2050,2056
11/1/1997,2082,2055
12/1/1997,2821,2055
1/1/1998,1846,2072
2/1/1998,1768,2112
3/1/1998,1894,2074
4/1/1998,1963,2095
5/1/1998,2140,2092
6/1/1998,2059,2076
7/1/1998,2209,2094
8/1/1998,2118,2135
9/1/1998,2031,2133
10/1/1998,2163,2137
11/1/1998,2154,2152
12/1/1998,3037,2169
1/1/1999,1866,2145
2/1/1999,1808,2158
3/1/1999,1986,2145
4/1/1999,2099,2219
5/1/1999,2210,2201
6/1/1999,2145,2167
7/1/1999,2339,2190
8/1/1999,2140,2193
9/1/1999,2126,2229
10/1/1999,2219,2235
11/1/1999,2273,2231
12/1/1999,3265,2267
1/1/2000,1920,2259
2/1/2000,1976,2290
3/1/2000,2190,2327
4/1/2000,2132,2297
5/1/2000,2357,2355
6/1/2000,2413,2384
7/1/2000,2463,2401
8/1/2000,2422,2417
9/1/2000,2358,2416
10/1/2000,2352,2450
11/1/2000,2549,2475
12/1/2000,3375,2344
1/1/2001,2109,2496
2/1/2001,2052,2457
3/1/2001,2327,2444
4/1/2001,2231,2444
5/1/2001,2470,2455
6/1/2001,2526,2474
7/1/2001,2483,2458
8/1/2001,2518,2454
9/1/2001,2316,2451
