"state","year","month","births","time"
"alabama","1931","jan",5597,1931-01-01
"alaska","1931","jan",NA,1931-01-01
"arizona","1931","jan",883,1931-01-01
"arkansas","1931","jan",3565,1931-01-01
"california","1931","jan",6876,1931-01-01
"colorado","1931","jan",1606,1931-01-01
"connecticut","1931","jan",2191,1931-01-01
"delaware","1931","jan",353,1931-01-01
"district of columbia","1931","jan",826,1931-01-01
"florida","1931","jan",2436,1931-01-01
"georgia","1931","jan",5312,1931-01-01
"hawaii","1931","jan",NA,1931-01-01
"idaho","1931","jan",791,1931-01-01
"illinois","1931","jan",10685,1931-01-01
"indiana","1931","jan",4941,1931-01-01
"iowa","1931","jan",3543,1931-01-01
"kansas","1931","jan",2855,1931-01-01
"kentucky","1931","jan",5142,1931-01-01
"louisiana","1931","jan",3975,1931-01-01
"maine","1931","jan",1332,1931-01-01
"maryland","1931","jan",2509,1931-01-01
"massachusetts","1931","jan",5861,1931-01-01
"michigan","1931","jan",7909,1931-01-01
"minnesota","1931","jan",4016,1931-01-01
"mississippi","1931","jan",4102,1931-01-01
"missouri","1931","jan",5567,1931-01-01
"montana","1931","jan",812,1931-01-01
"nebraskaa","1931","jan",2209,1931-01-01
"nevada","1931","jan",100,1931-01-01
"new hampshire","1931","jan",653,1931-01-01
"new jersey","1931","jan",5589,1931-01-01
"new mexico","1931","jan",1036,1931-01-01
"new york","1931","jan",17807,1931-01-01
"north carolina","1931","jan",5927,1931-01-01
"north dakota","1931","jan",1156,1931-01-01
"ohio","1931","jan",9524,1931-01-01
"oklahoma","1931","jan",4130,1931-01-01
"oregon","1931","jan",1123,1931-01-01
"pennsylvania","1931","jan",15718,1931-01-01
"rhode island","1931","jan",1015,1931-01-01
"south carolina","1931","jan",3083,1931-01-01
"south dakota","1931","jan",NA,1931-01-01
"tennessee","1931","jan",4410,1931-01-01
"texas","1931","jan",NA,1931-01-01
"utah","1931","jan",1032,1931-01-01
"vermont","1931","jan",557,1931-01-01
"virginia","1931","jan",4554,1931-01-01
"washington","1931","jan",1874,1931-01-01
"west virginia","1931","jan",3547,1931-01-01
"wisconsin","1931","jan",4698,1931-01-01
"wyoming","1931","jan",356,1931-01-01
"alabama","1931","feb",5079,1931-02-01
"alaska","1931","feb",NA,1931-02-01
"arizona","1931","feb",794,1931-02-01
"arkansas","1931","feb",3193,1931-02-01
"california","1931","feb",6228,1931-02-01
"colorado","1931","feb",1458,1931-02-01
"connecticut","1931","feb",2022,1931-02-01
"delaware","1931","feb",369,1931-02-01
"district of columbia","1931","feb",727,1931-02-01
"florida","1931","feb",2175,1931-02-01
"georgia","1931","feb",4737,1931-02-01
"hawaii","1931","feb",NA,1931-02-01
"idaho","1931","feb",697,1931-02-01
"illinois","1931","feb",9471,1931-02-01
"indiana","1931","feb",4552,1931-02-01
"iowa","1931","feb",3369,1931-02-01
"kansas","1931","feb",2634,1931-02-01
"kentucky","1931","feb",4869,1931-02-01
"louisiana","1931","feb",3411,1931-02-01
"maine","1931","feb",1228,1931-02-01
"maryland","1931","feb",2274,1931-02-01
"massachusetts","1931","feb",5397,1931-02-01
"michigan","1931","feb",7293,1931-02-01
"minnesota","1931","feb",3655,1931-02-01
"mississippi","1931","feb",3621,1931-02-01
"missouri","1931","feb",4923,1931-02-01
"montana","1931","feb",741,1931-02-01
"nebraskaa","1931","feb",2148,1931-02-01
"nevada","1931","feb",94,1931-02-01
"new hampshire","1931","feb",587,1931-02-01
"new jersey","1931","feb",4987,1931-02-01
"new mexico","1931","feb",944,1931-02-01
"new york","1931","feb",16219,1931-02-01
"north carolina","1931","feb",5445,1931-02-01
"north dakota","1931","feb",1038,1931-02-01
"ohio","1931","feb",8836,1931-02-01
"oklahoma","1931","feb",3562,1931-02-01
"oregon","1931","feb",1038,1931-02-01
"pennsylvania","1931","feb",14254,1931-02-01
"rhode island","1931","feb",916,1931-02-01
"south carolina","1931","feb",2739,1931-02-01
"south dakota","1931","feb",NA,1931-02-01
"tennessee","1931","feb",4233,1931-02-01
"texas","1931","feb",NA,1931-02-01
"utah","1931","feb",915,1931-02-01
"vermont","1931","feb",581,1931-02-01
"virginia","1931","feb",4212,1931-02-01
"washington","1931","feb",1795,1931-02-01
"west virginia","1931","feb",3213,1931-02-01
"wisconsin","1931","feb",4354,1931-02-01
"wyoming","1931","feb",305,1931-02-01
"alabama","1931","mar",5579,1931-03-01
"alaska","1931","mar",NA,1931-03-01
"arizona","1931","mar",860,1931-03-01
"arkansas","1931","mar",3566,1931-03-01
"california","1931","mar",6837,1931-03-01
"colorado","1931","mar",1662,1931-03-01
"connecticut","1931","mar",2177,1931-03-01
"delaware","1931","mar",395,1931-03-01
"district of columbia","1931","mar",759,1931-03-01
"florida","1931","mar",2326,1931-03-01
"georgia","1931","mar",5326,1931-03-01
"hawaii","1931","mar",NA,1931-03-01
"idaho","1931","mar",803,1931-03-01
"illinois","1931","mar",10450,1931-03-01
"indiana","1931","mar",4878,1931-03-01
"iowa","1931","mar",3790,1931-03-01
"kansas","1931","mar",2795,1931-03-01
"kentucky","1931","mar",5233,1931-03-01
"louisiana","1931","mar",3828,1931-03-01
"maine","1931","mar",1443,1931-03-01
"maryland","1931","mar",2598,1931-03-01
"massachusetts","1931","mar",5875,1931-03-01
"michigan","1931","mar",8055,1931-03-01
"minnesota","1931","mar",4248,1931-03-01
"mississippi","1931","mar",4108,1931-03-01
"missouri","1931","mar",5283,1931-03-01
"montana","1931","mar",855,1931-03-01
"nebraskaa","1931","mar",2380,1931-03-01
"nevada","1931","mar",114,1931-03-01
"new hampshire","1931","mar",647,1931-03-01
"new jersey","1931","mar",5449,1931-03-01
"new mexico","1931","mar",1112,1931-03-01
"new york","1931","mar",17943,1931-03-01
"north carolina","1931","mar",6273,1931-03-01
"north dakota","1931","mar",1279,1931-03-01
"ohio","1931","mar",9534,1931-03-01
"oklahoma","1931","mar",3955,1931-03-01
"oregon","1931","mar",1203,1931-03-01
"pennsylvania","1931","mar",15849,1931-03-01
"rhode island","1931","mar",973,1931-03-01
"south carolina","1931","mar",3357,1931-03-01
"south dakota","1931","mar",NA,1931-03-01
"tennessee","1931","mar",4669,1931-03-01
"texas","1931","mar",NA,1931-03-01
"utah","1931","mar",1082,1931-03-01
"vermont","1931","mar",568,1931-03-01
"virginia","1931","mar",4758,1931-03-01
"washington","1931","mar",1987,1931-03-01
"west virginia","1931","mar",3749,1931-03-01
"wisconsin","1931","mar",4836,1931-03-01
"wyoming","1931","mar",357,1931-03-01
"alabama","1931","apr",5289,1931-04-01
"alaska","1931","apr",NA,1931-04-01
"arizona","1931","apr",811,1931-04-01
"arkansas","1931","apr",3081,1931-04-01
"california","1931","apr",6428,1931-04-01
"colorado","1931","apr",1453,1931-04-01
"connecticut","1931","apr",2113,1931-04-01
"delaware","1931","apr",306,1931-04-01
"district of columbia","1931","apr",697,1931-04-01
"florida","1931","apr",1967,1931-04-01
"georgia","1931","apr",5273,1931-04-01
"hawaii","1931","apr",NA,1931-04-01
"idaho","1931","apr",802,1931-04-01
"illinois","1931","apr",9546,1931-04-01
"indiana","1931","apr",4446,1931-04-01
"iowa","1931","apr",3286,1931-04-01
"kansas","1931","apr",2347,1931-04-01
"kentucky","1931","apr",4783,1931-04-01
"louisiana","1931","apr",3142,1931-04-01
"maine","1931","apr",1453,1931-04-01
"maryland","1931","apr",2256,1931-04-01
"massachusetts","1931","apr",5750,1931-04-01
"michigan","1931","apr",7589,1931-04-01
"minnesota","1931","apr",3806,1931-04-01
"mississippi","1931","apr",3725,1931-04-01
"missouri","1931","apr",4286,1931-04-01
"montana","1931","apr",839,1931-04-01
"nebraskaa","1931","apr",2033,1931-04-01
"nevada","1931","apr",114,1931-04-01
"new hampshire","1931","apr",618,1931-04-01
"new jersey","1931","apr",5172,1931-04-01
"new mexico","1931","apr",1063,1931-04-01
"new york","1931","apr",17058,1931-04-01
"north carolina","1931","apr",6614,1931-04-01
"north dakota","1931","apr",1243,1931-04-01
"ohio","1931","apr",8898,1931-04-01
"oklahoma","1931","apr",3341,1931-04-01
"oregon","1931","apr",1099,1931-04-01
"pennsylvania","1931","apr",14686,1931-04-01
"rhode island","1931","apr",890,1931-04-01
"south carolina","1931","apr",3464,1931-04-01
"south dakota","1931","apr",NA,1931-04-01
"tennessee","1931","apr",4276,1931-04-01
"texas","1931","apr",NA,1931-04-01
"utah","1931","apr",1008,1931-04-01
"vermont","1931","apr",562,1931-04-01
"virginia","1931","apr",4509,1931-04-01
"washington","1931","apr",1729,1931-04-01
"west virginia","1931","apr",3270,1931-04-01
"wisconsin","1931","apr",4468,1931-04-01
"wyoming","1931","apr",361,1931-04-01
"alabama","1931","may",5220,1931-05-01
"alaska","1931","may",NA,1931-05-01
"arizona","1931","may",761,1931-05-01
"arkansas","1931","may",3202,1931-05-01
"california","1931","may",7086,1931-05-01
"colorado","1931","may",1668,1931-05-01
"connecticut","1931","may",2253,1931-05-01
"delaware","1931","may",341,1931-05-01
"district of columbia","1931","may",744,1931-05-01
"florida","1931","may",1860,1931-05-01
"georgia","1931","may",5143,1931-05-01
"hawaii","1931","may",NA,1931-05-01
"idaho","1931","may",761,1931-05-01
"illinois","1931","may",9858,1931-05-01
"indiana","1931","may",4553,1931-05-01
"iowa","1931","may",3531,1931-05-01
"kansas","1931","may",2515,1931-05-01
"kentucky","1931","may",4631,1931-05-01
"louisiana","1931","may",3116,1931-05-01
"maine","1931","may",1463,1931-05-01
"maryland","1931","may",2318,1931-05-01
"massachusetts","1931","may",6096,1931-05-01
"michigan","1931","may",7975,1931-05-01
"minnesota","1931","may",3801,1931-05-01
"mississippi","1931","may",3771,1931-05-01
"missouri","1931","may",4585,1931-05-01
"montana","1931","may",865,1931-05-01
"nebraskaa","1931","may",2130,1931-05-01
"nevada","1931","may",94,1931-05-01
"new hampshire","1931","may",708,1931-05-01
"new jersey","1931","may",5537,1931-05-01
"new mexico","1931","may",1200,1931-05-01
"new york","1931","may",17674,1931-05-01
"north carolina","1931","may",7148,1931-05-01
"north dakota","1931","may",1199,1931-05-01
"ohio","1931","may",9130,1931-05-01
"oklahoma","1931","may",3226,1931-05-01
"oregon","1931","may",1181,1931-05-01
"pennsylvania","1931","may",14773,1931-05-01
"rhode island","1931","may",1030,1931-05-01
"south carolina","1931","may",3544,1931-05-01
"south dakota","1931","may",NA,1931-05-01
"tennessee","1931","may",4534,1931-05-01
"texas","1931","may",NA,1931-05-01
"utah","1931","may",1033,1931-05-01
"vermont","1931","may",612,1931-05-01
"virginia","1931","may",4543,1931-05-01
"washington","1931","may",1930,1931-05-01
"west virginia","1931","may",3322,1931-05-01
"wisconsin","1931","may",4712,1931-05-01
"wyoming","1931","may",412,1931-05-01
"alabama","1931","jun",5129,1931-06-01
"alaska","1931","jun",NA,1931-06-01
"arizona","1931","jun",761,1931-06-01
"arkansas","1931","jun",3359,1931-06-01
"california","1931","jun",6927,1931-06-01
"colorado","1931","jun",1596,1931-06-01
"connecticut","1931","jun",2108,1931-06-01
"delaware","1931","jun",360,1931-06-01
"district of columbia","1931","jun",755,1931-06-01
"florida","1931","jun",1879,1931-06-01
"georgia","1931","jun",4937,1931-06-01
"hawaii","1931","jun",NA,1931-06-01
"idaho","1931","jun",718,1931-06-01
"illinois","1931","jun",10177,1931-06-01
"indiana","1931","jun",4631,1931-06-01
"iowa","1931","jun",3541,1931-06-01
"kansas","1931","jun",2706,1931-06-01
"kentucky","1931","jun",4658,1931-06-01
"louisiana","1931","jun",3271,1931-06-01
"maine","1931","jun",1397,1931-06-01
"maryland","1931","jun",2386,1931-06-01
"massachusetts","1931","jun",5872,1931-06-01
"michigan","1931","jun",7652,1931-06-01
"minnesota","1931","jun",4003,1931-06-01
"mississippi","1931","jun",3625,1931-06-01
"missouri","1931","jun",4991,1931-06-01
"montana","1931","jun",789,1931-06-01
"nebraskaa","1931","jun",2252,1931-06-01
"nevada","1931","jun",88,1931-06-01
"new hampshire","1931","jun",653,1931-06-01
"new jersey","1931","jun",5368,1931-06-01
"new mexico","1931","jun",1090,1931-06-01
"new york","1931","jun",17628,1931-06-01
"north carolina","1931","jun",6374,1931-06-01
"north dakota","1931","jun",1314,1931-06-01
"ohio","1931","jun",9118,1931-06-01
"oklahoma","1931","jun",3300,1931-06-01
"oregon","1931","jun",1115,1931-06-01
"pennsylvania","1931","jun",14801,1931-06-01
"rhode island","1931","jun",965,1931-06-01
"south carolina","1931","jun",3323,1931-06-01
"south dakota","1931","jun",NA,1931-06-01
"tennessee","1931","jun",4430,1931-06-01
"texas","1931","jun",NA,1931-06-01
"utah","1931","jun",1033,1931-06-01
"vermont","1931","jun",607,1931-06-01
"virginia","1931","jun",4436,1931-06-01
"washington","1931","jun",1866,1931-06-01
"west virginia","1931","jun",3250,1931-06-01
"wisconsin","1931","jun",4607,1931-06-01
"wyoming","1931","jun",394,1931-06-01
"alabama","1931","july",5173,1931-07-01
"alaska","1931","july",NA,1931-07-01
"arizona","1931","july",780,1931-07-01
"arkansas","1931","july",3564,1931-07-01
"california","1931","july",7169,1931-07-01
"colorado","1931","july",1572,1931-07-01
"connecticut","1931","july",2266,1931-07-01
"delaware","1931","july",356,1931-07-01
"district of columbia","1931","july",820,1931-07-01
"florida","1931","july",2094,1931-07-01
"georgia","1931","july",5085,1931-07-01
"hawaii","1931","july",NA,1931-07-01
"idaho","1931","july",779,1931-07-01
"illinois","1931","july",10623,1931-07-01
"indiana","1931","july",4947,1931-07-01
"iowa","1931","july",3683,1931-07-01
"kansas","1931","july",2862,1931-07-01
"kentucky","1931","july",4793,1931-07-01
"louisiana","1931","july",3748,1931-07-01
"maine","1931","july",1360,1931-07-01
"maryland","1931","july",2515,1931-07-01
"massachusetts","1931","july",6143,1931-07-01
"michigan","1931","july",7817,1931-07-01
"minnesota","1931","july",4093,1931-07-01
"mississippi","1931","july",3792,1931-07-01
"missouri","1931","july",5280,1931-07-01
"montana","1931","july",842,1931-07-01
"nebraskaa","1931","july",2318,1931-07-01
"nevada","1931","july",92,1931-07-01
"new hampshire","1931","july",708,1931-07-01
"new jersey","1931","july",5732,1931-07-01
"new mexico","1931","july",1060,1931-07-01
"new york","1931","july",18257,1931-07-01
"north carolina","1931","july",6394,1931-07-01
"north dakota","1931","july",1174,1931-07-01
"ohio","1931","july",9351,1931-07-01
"oklahoma","1931","july",3727,1931-07-01
"oregon","1931","july",1183,1931-07-01
"pennsylvania","1931","july",15701,1931-07-01
"rhode island","1931","july",956,1931-07-01
"south carolina","1931","july",3453,1931-07-01
"south dakota","1931","july",NA,1931-07-01
"tennessee","1931","july",4592,1931-07-01
"texas","1931","july",NA,1931-07-01
"utah","1931","july",1056,1931-07-01
"vermont","1931","july",585,1931-07-01
"virginia","1931","july",4495,1931-07-01
"washington","1931","july",1989,1931-07-01
"west virginia","1931","july",3377,1931-07-01
"wisconsin","1931","july",4813,1931-07-01
"wyoming","1931","july",381,1931-07-01
"alabama","1931","aug",5336,1931-08-01
"alaska","1931","aug",NA,1931-08-01
"arizona","1931","aug",818,1931-08-01
"arkansas","1931","aug",3868,1931-08-01
"california","1931","aug",7087,1931-08-01
"colorado","1931","aug",1603,1931-08-01
"connecticut","1931","aug",2279,1931-08-01
"delaware","1931","aug",410,1931-08-01
"district of columbia","1931","aug",837,1931-08-01
"florida","1931","aug",2482,1931-08-01
"georgia","1931","aug",5608,1931-08-01
"hawaii","1931","aug",NA,1931-08-01
"idaho","1931","aug",742,1931-08-01
"illinois","1931","aug",10454,1931-08-01
"indiana","1931","aug",4938,1931-08-01
"iowa","1931","aug",3612,1931-08-01
"kansas","1931","aug",2952,1931-08-01
"kentucky","1931","aug",4861,1931-08-01
"louisiana","1931","aug",3993,1931-08-01
"maine","1931","aug",1510,1931-08-01
"maryland","1931","aug",2631,1931-08-01
"massachusetts","1931","aug",6031,1931-08-01
"michigan","1931","aug",8016,1931-08-01
"minnesota","1931","aug",4041,1931-08-01
"mississippi","1931","aug",4072,1931-08-01
"missouri","1931","aug",5460,1931-08-01
"montana","1931","aug",829,1931-08-01
"nebraskaa","1931","aug",2336,1931-08-01
"nevada","1931","aug",113,1931-08-01
"new hampshire","1931","aug",698,1931-08-01
"new jersey","1931","aug",5721,1931-08-01
"new mexico","1931","aug",1097,1931-08-01
"new york","1931","aug",17984,1931-08-01
"north carolina","1931","aug",6516,1931-08-01
"north dakota","1931","aug",1260,1931-08-01
"ohio","1931","aug",9229,1931-08-01
"oklahoma","1931","aug",3928,1931-08-01
"oregon","1931","aug",1117,1931-08-01
"pennsylvania","1931","aug",15675,1931-08-01
"rhode island","1931","aug",980,1931-08-01
"south carolina","1931","aug",3462,1931-08-01
"south dakota","1931","aug",NA,1931-08-01
"tennessee","1931","aug",4551,1931-08-01
"texas","1931","aug",NA,1931-08-01
"utah","1931","aug",1044,1931-08-01
"vermont","1931","aug",562,1931-08-01
"virginia","1931","aug",4530,1931-08-01
"washington","1931","aug",1863,1931-08-01
"west virginia","1931","aug",3300,1931-08-01
"wisconsin","1931","aug",4754,1931-08-01
"wyoming","1931","aug",388,1931-08-01
"alabama","1931","sep",5310,1931-09-01
"alaska","1931","sep",NA,1931-09-01
"arizona","1931","sep",732,1931-09-01
"arkansas","1931","sep",3878,1931-09-01
"california","1931","sep",6779,1931-09-01
"colorado","1931","sep",1602,1931-09-01
"connecticut","1931","sep",2163,1931-09-01
"delaware","1931","sep",357,1931-09-01
"district of columbia","1931","sep",781,1931-09-01
"florida","1931","sep",2498,1931-09-01
"georgia","1931","sep",5584,1931-09-01
"hawaii","1931","sep",NA,1931-09-01
"idaho","1931","sep",773,1931-09-01
"illinois","1931","sep",10084,1931-09-01
"indiana","1931","sep",4732,1931-09-01
"iowa","1931","sep",3562,1931-09-01
"kansas","1931","sep",2919,1931-09-01
"kentucky","1931","sep",4711,1931-09-01
"louisiana","1931","sep",4030,1931-09-01
"maine","1931","sep",1347,1931-09-01
"maryland","1931","sep",2450,1931-09-01
"massachusetts","1931","sep",5720,1931-09-01
"michigan","1931","sep",7484,1931-09-01
"minnesota","1931","sep",4085,1931-09-01
"mississippi","1931","sep",3963,1931-09-01
"missouri","1931","sep",5471,1931-09-01
"montana","1931","sep",811,1931-09-01
"nebraskaa","1931","sep",2265,1931-09-01
"nevada","1931","sep",105,1931-09-01
"new hampshire","1931","sep",659,1931-09-01
"new jersey","1931","sep",5324,1931-09-01
"new mexico","1931","sep",1035,1931-09-01
"new york","1931","sep",16942,1931-09-01
"north carolina","1931","sep",6683,1931-09-01
"north dakota","1931","sep",1224,1931-09-01
"ohio","1931","sep",9108,1931-09-01
"oklahoma","1931","sep",3694,1931-09-01
"oregon","1931","sep",1047,1931-09-01
"pennsylvania","1931","sep",14951,1931-09-01
"rhode island","1931","sep",896,1931-09-01
"south carolina","1931","sep",3584,1931-09-01
"south dakota","1931","sep",NA,1931-09-01
"tennessee","1931","sep",4506,1931-09-01
"texas","1931","sep",NA,1931-09-01
"utah","1931","sep",1005,1931-09-01
"vermont","1931","sep",559,1931-09-01
"virginia","1931","sep",4657,1931-09-01
"washington","1931","sep",1798,1931-09-01
"west virginia","1931","sep",3352,1931-09-01
"wisconsin","1931","sep",4503,1931-09-01
"wyoming","1931","sep",426,1931-09-01
"alabama","1931","oct",5224,1931-10-01
"alaska","1931","oct",NA,1931-10-01
"arizona","1931","oct",709,1931-10-01
"arkansas","1931","oct",3432,1931-10-01
"california","1931","oct",6869,1931-10-01
"colorado","1931","oct",1434,1931-10-01
"connecticut","1931","oct",2042,1931-10-01
"delaware","1931","oct",339,1931-10-01
"district of columbia","1931","oct",788,1931-10-01
"florida","1931","oct",2611,1931-10-01
"georgia","1931","oct",5140,1931-10-01
"hawaii","1931","oct",NA,1931-10-01
"idaho","1931","oct",695,1931-10-01
"illinois","1931","oct",9668,1931-10-01
"indiana","1931","oct",4607,1931-10-01
"iowa","1931","oct",3512,1931-10-01
"kansas","1931","oct",2876,1931-10-01
"kentucky","1931","oct",4625,1931-10-01
"louisiana","1931","oct",3738,1931-10-01
"maine","1931","oct",1247,1931-10-01
"maryland","1931","oct",2397,1931-10-01
"massachusetts","1931","oct",5538,1931-10-01
"michigan","1931","oct",7432,1931-10-01
"minnesota","1931","oct",3821,1931-10-01
"mississippi","1931","oct",3682,1931-10-01
"missouri","1931","oct",5279,1931-10-01
"montana","1931","oct",795,1931-10-01
"nebraskaa","1931","oct",2242,1931-10-01
"nevada","1931","oct",109,1931-10-01
"new hampshire","1931","oct",610,1931-10-01
"new jersey","1931","oct",5226,1931-10-01
"new mexico","1931","oct",967,1931-10-01
"new york","1931","oct",16341,1931-10-01
"north carolina","1931","oct",6164,1931-10-01
"north dakota","1931","oct",1210,1931-10-01
"ohio","1931","oct",8830,1931-10-01
"oklahoma","1931","oct",3622,1931-10-01
"oregon","1931","oct",1072,1931-10-01
"pennsylvania","1931","oct",14704,1931-10-01
"rhode island","1931","oct",956,1931-10-01
"south carolina","1931","oct",3438,1931-10-01
"south dakota","1931","oct",NA,1931-10-01
"tennessee","1931","oct",4112,1931-10-01
"texas","1931","oct",NA,1931-10-01
"utah","1931","oct",1065,1931-10-01
"vermont","1931","oct",539,1931-10-01
"virginia","1931","oct",4155,1931-10-01
"washington","1931","oct",1789,1931-10-01
"west virginia","1931","oct",3086,1931-10-01
"wisconsin","1931","oct",4338,1931-10-01
"wyoming","1931","oct",382,1931-10-01
"alabama","1931","nov",4876,1931-11-01
"alaska","1931","nov",NA,1931-11-01
"arizona","1931","nov",717,1931-11-01
"arkansas","1931","nov",3257,1931-11-01
"california","1931","nov",6455,1931-11-01
"colorado","1931","nov",1378,1931-11-01
"connecticut","1931","nov",1917,1931-11-01
"delaware","1931","nov",316,1931-11-01
"district of columbia","1931","nov",755,1931-11-01
"florida","1931","nov",2278,1931-11-01
"georgia","1931","nov",4844,1931-11-01
"hawaii","1931","nov",NA,1931-11-01
"idaho","1931","nov",758,1931-11-01
"illinois","1931","nov",8918,1931-11-01
"indiana","1931","nov",4293,1931-11-01
"iowa","1931","nov",3275,1931-11-01
"kansas","1931","nov",2666,1931-11-01
"kentucky","1931","nov",4338,1931-11-01
"louisiana","1931","nov",3552,1931-11-01
"maine","1931","nov",1222,1931-11-01
"maryland","1931","nov",2135,1931-11-01
"massachusetts","1931","nov",5305,1931-11-01
"michigan","1931","nov",6715,1931-11-01
"minnesota","1931","nov",3602,1931-11-01
"mississippi","1931","nov",3288,1931-11-01
"missouri","1931","nov",4810,1931-11-01
"montana","1931","nov",725,1931-11-01
"nebraskaa","1931","nov",2095,1931-11-01
"nevada","1931","nov",107,1931-11-01
"new hampshire","1931","nov",571,1931-11-01
"new jersey","1931","nov",4791,1931-11-01
"new mexico","1931","nov",835,1931-11-01
"new york","1931","nov",15454,1931-11-01
"north carolina","1931","nov",5584,1931-11-01
"north dakota","1931","nov",1170,1931-11-01
"ohio","1931","nov",8014,1931-11-01
"oklahoma","1931","nov",3474,1931-11-01
"oregon","1931","nov",1004,1931-11-01
"pennsylvania","1931","nov",13557,1931-11-01
"rhode island","1931","nov",807,1931-11-01
"south carolina","1931","nov",3077,1931-11-01
"south dakota","1931","nov",NA,1931-11-01
"tennessee","1931","nov",3965,1931-11-01
"texas","1931","nov",NA,1931-11-01
"utah","1931","nov",865,1931-11-01
"vermont","1931","nov",489,1931-11-01
"virginia","1931","nov",3790,1931-11-01
"washington","1931","nov",1673,1931-11-01
"west virginia","1931","nov",2892,1931-11-01
"wisconsin","1931","nov",4032,1931-11-01
"wyoming","1931","nov",352,1931-11-01
"alabama","1931","dec",4931,1931-12-01
"alaska","1931","dec",NA,1931-12-01
"arizona","1931","dec",743,1931-12-01
"arkansas","1931","dec",3077,1931-12-01
"california","1931","dec",6685,1931-12-01
"colorado","1931","dec",1481,1931-12-01
"connecticut","1931","dec",2024,1931-12-01
