name,trans,yr,trans
"Intel 4004 (4-bit, 16-pin)","2,250",1971,2250
"TMX 1795 (?-bit, 24-pin)",3078[16],1971,3078
"Intel 8008 (8-bit, 18-pin)","3,500",1972,3500
"NEC ?COM-4 (4-bit, 42-pin)",2500[17][18],1973,2500
Toshiba TLCS-12 (12-bit),11000[20],1973,11000
"Intel 4040 (4-bit, 16-pin)","3,000",1974,3000
"Motorola 6800 (8-bit, 40-pin)","4,100",1974,4100
"Intel 8080 (8-bit, 40-pin)","6,000",1974,6000
"TMS 1000 (4-bit, 28-pin)","8,000",1974,8000
"MOS Technology 6502 (8-bit, 40-pin)",4528[b][22],1975,4528
"Intersil IM6100 (12-bit, 40-pin; clone of PDP-8)","4,000",1975,4000
"CDP 1801 (8-bit, 2-chip, 40-pin)","5,000",1975,5000
"RCA 1802 (8-bit, 40-pin)","5,000",1976,5000
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)",8500[c],1976,8500
"Intel 8085 (8-bit, 40-pin)","6,500",1976,6500
TMS9900 (16-bit),"8,000",1976,8000
Bellmac-8 (8-bit),"7,000",1977,7000
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)","9,000",1978,9000
"Intel 8086 (16-bit, 40-pin)","29,000",1978,29000
Zilog Z8000 (16-bit),17500[23],1979,17500
"Intel 8088 (16-bit, 8-bit data bus)","29,000",1979,29000
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit ALU)",68000[24],1979,68000
"Intel 8051 (8-bit, 40-pin)","50,000",1980,50000
WDC 65C02,11500[25],1981,11500
ROMP (32-bit),"45,000",1981,45000
"Intel 80186 (16-bit, 68-pin)","55,000",1982,55000
"Intel 80286 (16-bit, 68-pin)","134,000",1982,134000
WDC 65C816 (8/16-bit),22000[26],1983,22000
NEC V20,"63,000",1984,63000
Motorola 68020 (32-bit; 114 pins used),190000[28],1984,190000
"Intel 80386 (32-bit, 132-pin; no cache)","275,000",1985,275000
ARM 1 (32-bit; no cache),25000[28],1985,25000
Novix NC4016 (16-bit),16000[29],1985,16000
SPARC MB86900 (32-bit; no cache),110000[32],1986,110000
NEC V60[33] (32-bit; no cache),"375,000",1986,375000
"ARM 2 (32-bit, 84-pin; no cache)",27000[34][28],1986,27000
Z80000 (32-bit; very small cache),"91,000",1986,91000
NEC V70[33] (32-bit; no cache),"385,000",1987,385000
Hitachi Gmicro/200[35],"730,000",1987,730000
"Motorola 68030 (32-bit, very small caches)","273,000",1987,273000
TI Explorer's 32-bit Lisp machine chip,553000[36],1987,553000
DEC WRL MultiTitan,180000[38],1988,180000
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",250000[39],1988,250000
"Intel i960CA (32-bit, cache)",600000[40],1989,600000
"Intel i860 (32/64-bit, 128-bit SIMD, cache, VLIW)",1000000[41],1989,1000000
"Intel 80486 (32-bit, 4 KB cache)","1,180,235",1989,1180235
"ARM 3 (32-bit, 4 KB cache)","310,000",1989,310000
"POWER1 (9-chip module, 72 kB of cache)",6900000[42],1990,6900000
"Motorola 68040 (32-bit, 8 KB caches)","1,200,000",1990,1200000
"R4000 (64-bit, 16 KB of caches)","1,350,000",1991,1350000
"ARM 6 (32-bit, no cache for this 60 variant)","35,000",1991,35000
"Hitachi SH-1 (32-bit, no cache)",600000[43],1992,600000
"Intel i960CF (32-bit, cache)",900000[40],1992,900000
"DEC Alpha 21064 (64-bit, 290-pin; 16 KB of caches)","1,680,000",1992,1680000
"Hitachi HARP-1 (32-bit, cache)",2800000[45],1993,2800000
"Pentium (32-bit, 16 KB of caches)","3,100,000",1993,3100000
"POWER2 (8-chip module, 288 kB of cache)",23037000[46],1993,23037000
ARM700 (32-bit; 8 KB cache),578977[47],1994,578977
"MuP21 (21-bit,[48] 40-pin; includes video)",7000[49],1994,7000
"Motorola 68060 (32-bit, 16 KB of caches)","2,500,000",1994,2500000
"PowerPC 601 (32-bit, 32 KB of caches)",2800000[50],1994,2800000
"PowerPC 603 (32-bit, 16 KB of caches)",1600000[51],1994,1600000
"PowerPC 603e (32-bit, 32 KB of caches)",2600000[52],1995,2600000
"Alpha 21164 EV5 (64-bit, 112 kB cache)",9300000[53],1995,9300000
"SA-110 (32-bit, 32 KB of caches)",2500000[28],1995,2500000
"Pentium Pro (32-bit, 16 KB of caches;[54] L2 cache on-package, but on separate die)",5500000[55],1995,5500000
"PA-8000 64-bit, no cache",3800000[56],1995,3800000
"Alpha 21164A EV56 (64-bit, 112 kB cache)",9660000[57],1996,9660000
"AMD K5 (32-bit, caches)","4,300,000",1996,4300000
"Hitachi SH-4 (32-bit, caches)",10000000[58],1997,10000000
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)","7,500,000",1997,7500000
"AMD K6 (32-bit, caches)","8,800,000",1997,8800000
F21 (21-bit; includes e.g. video),"15,000",1997,15000
"AVR (8-bit, 40-pin; w/memory)",140000,1997,140000
"Pentium II Deschutes (32-bit, large cache)","7,500,000",1998,7500000
Alpha 21264 EV6 (64-bit),15200000[62],1998,15200000
"Alpha 21164PC PCA57 (64-bit, 48 kB cache)","5,700,000",1998,5700000
"ARM 9TDMI (32-bit, no cache)",111000,1999,111000
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)","9,500,000",1999,9500000
"Emotion Engine (64-bit, 128-bit SIMD, cache)",13500000[63],1999,13500000
"Pentium II Mobile Dixon (32-bit, caches)","27,400,000",1999,27400000
"AMD K6-III (32-bit, caches)","21,300,000",1999,21300000
"AMD K7 (32-bit, caches)","22,000,000",1999,22000000
"Gekko (32-bit, large cache)",21000000[66],2000,21000000
"Pentium III Coppermine (32-bit, large cache)","21,000,000",2000,21000000
"Pentium 4 Willamette (32-bit, large cache)","42,000,000",2000,42000000
"SPARC64 V (64-bit, large cache)",191000000[67],2001,191000000
"Pentium III Tualatin (32-bit, large cache)","45,000,000",2001,45000000
"Pentium 4 Northwood (32-bit, large cache)","55,000,000",2002,55000000
"Itanium 2 McKinley (64-bit, large cache)","220,000,000",2002,220000000
"DEC Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)",152000000[13],2003,152000000
"Barton (32-bit, large cache)","54,300,000",2003,54300000
"AMD K8 (64-bit, large cache)","105,900,000",2003,105900000
Itanium 2 Madison 6M (64-bit),"410,000,000",2003,410000000
"Pentium 4 Prescott (32-bit, large cache)","112,000,000",2004,112000000
"SPARC64 V+ (64-bit, large cache)",400000000[69],2004,400000000
Itanium 2 (64-bit;9 MB cache),"592,000,000",2004,592000000
"Pentium 4 Prescott-2M (32-bit, large cache)","169,000,000",2005,169000000
"Pentium D Smithfield (64-bit, large cache)","228,000,000",2005,228000000
"Xenon (64-bit, 128-bit SIMD, large cache)","165,000,000",2005,165000000
"Cell (32-bit, cache)",250000000[70],2005,250000000
"Pentium 4 Cedar Mill (32-bit, large cache)","184,000,000",2006,184000000
"Pentium D Presler (64-bit, large cache)","362,000,000",2006,362000000
"Core 2 Duo Conroe (dual-core 64-bit, large caches)","291,000,000",2006,291000000
"Dual-core Itanium 2 (64-bit, SIMD, large caches)",1700000000[71],2006,1700000000
"AMD K10 quad-core 2M L3 (64-bit, large caches)",463000000[72],2007,463000000
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)",26000000[73],2007,26000000
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)","411,000,000",2007,411000000
"POWER6 (64-bit, large caches)","789,000,000",2007,789000000
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches)","169,000,000",2007,169000000
Uniphier,250000000[74],2007,250000000
"SPARC64 VI (64-bit, SIMD, large caches)","540,000,000",2007,540000000
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)","230,000,000",2008,230000000
"Core i7 (quad-core 64-bit, SIMD, large caches)","731,000,000",2008,731000000
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)",758000000[72],2008,758000000
"Atom (32-bit, large cache)","47,000,000",2008,47000000
"SPARC64 VII (64-bit, SIMD, large caches)","600,000,000",2008,600000000
"Six-core Xeon 7400 (64-bit, SIMD, large caches)","1,900,000,000",2008,1900000000
"Six-core Opteron 2400 (64-bit, SIMD, large caches)","904,000,000",2009,904000000
"SPARC64 VIIIfx (64-bit, SIMD, large caches)",760000000[77],2009,760000000
"SPARC T3 (16-core 64-bit, SIMD, large caches)",1000000000[78],2010,1000000000
Six-core Core i7 (Gulftown),"1,170,000,000",2010,1170000000
"POWER7 32M L3 (8-core 64-bit, SIMD, large caches)","1,200,000,000",2010,1200000000
"Quad-core z196[79] (64-bit, very large caches)","1,400,000,000",2010,1400000000
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)",2000000000[80],2010,2000000000
"Xeon Nehalem-EX (8-core 64-bit, SIMD, large caches)",2300000000[81],2010,2300000000
"SPARC64 IXfx (64-bit, SIMD, large caches)",1870000000[82],2011,1870000000
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)","1,160,000,000",2011,1160000000
Six-core Core i7/8-core Xeon E5,2270000000[83],2011,2270000000
"Xeon Westmere-EX (10-core 64-bit, SIMD, large caches)","2,600,000,000",2011,2600000000
"Atom ""Medfield"" (64-bit)",432000000[84],2012,432000000
"SPARC64 X (64-bit, SIMD, caches)",2990000000[85],2012,2990000000
"AMD Bulldozer (8-core 64-bit, SIMD, caches)",1200000000[86],2012,1200000000
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)","1,303,000,000",2012,1303000000
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)","1,400,000,000",2012,1400000000
"POWER7+ (8-core 64-bit, SIMD, 80 MB L3 cache)","2,100,000,000",2012,2100000000
"Six-core zEC12 (64-bit, SIMD, large caches)","2,750,000,000",2012,2750000000
"Itanium Poulson (8-core 64-bit, SIMD, caches)","3,100,000,000",2012,3100000000
"Xeon Phi (61-core 32-bit, 512-bit SIMD, caches)",5000000000[87],2012,5000000000
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)","1,000,000,000",2013,1000000000
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)","1,860,000,000",2013,1860000000
"POWER8 (12-core 64-bit, SIMD, caches)","4,200,000,000",2013,4200000000
"Xbox One main SoC (64-bit, SIMD, caches)","5,000,000,000",2013,5000000000
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)",1400000000[88],2014,1400000000
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","2,000,000,000",2014,2000000000
"Core i7 Haswell-E (8-core 64-bit, SIMD, caches)",2600000000[89],2014,2600000000
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000[90],2014,3000000000
"Xeon Ivy Bridge-EX (15-core 64-bit, SIMD, caches)",4310000000[91],2014,4310000000
"Xeon Haswell-E5 (18-core 64-bit, SIMD, caches)",5560000000[92],2014,5560000000
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)","1,750,000,000",2015,1750000000
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)",1900000000[93],2015,1900000000
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","2,000,000,000",2015,2000000000
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,000,000,000",2015,3000000000
"IBM z13 (64-bit, caches)","3,990,000,000",2015,3990000000
IBM z13 Storage Controller,"7,100,000,000",2015,7100000000
"SPARC M7 (32-core 64-bit, SIMD, caches)",10000000000[94],2015,10000000000
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000[95][96],2016,3000000000
"Core i7 Broadwell-E (10-core 64-bit, SIMD, caches)",3200000000[97],2016,3200000000
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","3,300,000,000",2016,3300000000
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4000000000[99],2016,4000000000
"Xeon Broadwell-E5 (22-core 64-bit, SIMD, caches)",7200000000[100],2016,7200000000
"Xeon Phi (72-core 64-bit, 512-bit SIMD, caches)","8,000,000,000",2016,8000000000
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000[102],2017,5300000000
"Qualcomm Snapdragon 850 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000[103],2017,5300000000
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)","4,300,000,000",2017,4300000000
"Zeppelin SoC Ryzen (64-bit, SIMD, caches)",4800000000[104],2017,4800000000
"Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)",4800000000[105],2017,4800000000
"Ryzen 5 1600 X Ryzen (64-bit, SIMD, caches)",4800000000[106],2017,4800000000
"IBM z14 (64-bit, SIMD, caches)","6,100,000,000",2017,6100000000
IBM z14 Storage Controller (64-bit),"9,700,000,000",2017,9700000000
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5500000000[107],2017,5500000000
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)",7000000000[108],2017,7000000000
