Rk,Season,Lg,PTS,FG%,FT%
2,2021-22,NBA,110.6,0.461,0.775
3,2020-21,NBA,112.1,0.466,0.778
4,2019-20,NBA,111.8,0.46,0.773
5,2018-19,NBA,111.2,0.461,0.766
6,2017-18,NBA,106.3,0.46,0.767
7,2016-17,NBA,105.6,0.457,0.772
8,2015-16,NBA,102.7,0.452,0.757
9,2014-15,NBA,100,0.449,0.75
10,2013-14,NBA,101,0.454,0.756
11,2012-13,NBA,98.1,0.453,0.753
12,2011-12,NBA,96.3,0.448,0.752
13,2010-11,NBA,99.6,0.459,0.763
14,2009-10,NBA,100.4,0.461,0.759
15,2008-09,NBA,100,0.459,0.771
16,2007-08,NBA,99.9,0.457,0.755
17,2006-07,NBA,98.7,0.458,0.752
18,2005-06,NBA,97,0.454,0.745
19,2004-05,NBA,97.2,0.447,0.756
20,2003-04,NBA,93.4,0.439,0.752
21,2002-03,NBA,95.1,0.442,0.758
22,2001-02,NBA,95.5,0.445,0.752
23,2000-01,NBA,94.8,0.443,0.748
24,1999-00,NBA,97.5,0.449,0.75
25,1998-99,NBA,91.6,0.437,0.728
26,1997-98,NBA,95.6,0.45,0.737
27,1996-97,NBA,96.9,0.455,0.738
28,1995-96,NBA,99.5,0.462,0.74
29,1994-95,NBA,101.4,0.466,0.737
30,1993-94,NBA,101.5,0.466,0.734
31,1992-93,NBA,105.3,0.473,0.754
32,1991-92,NBA,105.3,0.472,0.759
33,1990-91,NBA,106.3,0.474,0.765
34,1989-90,NBA,107,0.476,0.764
35,1988-89,NBA,109.2,0.477,0.768
36,1987-88,NBA,108.2,0.48,0.766
37,1986-87,NBA,109.9,0.48,0.763
38,1985-86,NBA,110.2,0.487,0.756
39,1984-85,NBA,110.8,0.491,0.764
40,1983-84,NBA,110.1,0.492,0.76
41,1982-83,NBA,108.5,0.485,0.74
42,1981-82,NBA,108.6,0.491,0.746
43,1980-81,NBA,108.1,0.486,0.751
44,1979-80,NBA,109.3,0.481,0.764
45,1978-79,NBA,110.3,0.485,0.752
46,1977-78,NBA,108.5,0.469,0.752
47,1976-77,NBA,106.5,0.465,0.751
48,1975-76,NBA,104.3,0.458,0.751
49,1974-75,NBA,102.6,0.457,0.765
50,1973-74,NBA,105.7,0.459,0.771
51,1972-73,NBA,107.6,0.456,0.758
52,1971-72,NBA,110.2,0.455,0.748
53,1970-71,NBA,112.4,0.449,0.745
54,1969-70,NBA,116.7,0.46,0.751
55,1968-69,NBA,112.3,0.441,0.714
56,1967-68,NBA,116.6,0.446,0.72
57,1966-67,NBA,117.4,0.441,0.732
58,1965-66,NBA,115.5,0.433,0.727
59,1964-65,NBA,110.6,0.426,0.721
60,1963-64,NBA,111,0.433,0.722
61,1962-63,NBA,115.3,0.441,0.727
62,1961-62,NBA,118.8,0.426,0.727
63,1960-61,NBA,118.1,0.415,0.733
64,1959-60,NBA,115.3,0.41,0.735
65,1958-59,NBA,108.2,0.395,0.756
66,1957-58,NBA,106.6,0.383,0.746
67,1956-57,NBA,99.6,0.38,0.751
68,1955-56,NBA,99,0.387,0.745
69,1954-55,NBA,93.1,0.385,0.738
70,1953-54,NBA,79.5,0.372,0.709
71,1952-53,NBA,82.7,0.37,0.716
72,1951-52,NBA,83.7,0.367,0.735
73,1950-51,NBA,84.1,0.357,0.733
74,1949-50,NBA,80,0.34,0.714
75,1948-49,BAA,80,0.327,0.703
76,1947-48,BAA,72.7,0.284,0.675
77,1946-47,BAA,67.8,0.279,0.641
