DATE,PCEC96_PC1
2003-01-01,2.56097
2003-02-01,1.82631
2003-03-01,2.43301
2003-04-01,2.37055
2003-05-01,3.09786
2003-06-01,3.30331
2003-07-01,3.08576
2003-08-01,3.84804
2003-09-01,4.02726
2003-10-01,3.77154
2003-11-01,4.07031
2003-12-01,3.52955
2004-01-01,3.88089
2004-02-01,4.42902
2004-03-01,4.42423
2004-04-01,3.84868
2004-05-01,4.06138
2004-06-01,2.97491
2004-07-01,3.41253
2004-08-01,2.88401
2004-09-01,3.85131
2004-10-01,3.92830
2004-11-01,3.52053
2004-12-01,4.06074
2005-01-01,3.50762
2005-02-01,3.75433
2005-03-01,3.33068
2005-04-01,4.08596
2005-05-01,3.39931
2005-06-01,4.84737
2005-07-01,4.68206
2005-08-01,3.83263
2005-09-01,2.76079
2005-10-01,2.79484
2005-11-01,2.91425
2005-12-01,2.64406
2006-01-01,3.39178
2006-02-01,3.15126
2006-03-01,3.20430
2006-04-01,2.72015
2006-05-01,3.03260
2006-06-01,2.19070
2006-07-01,2.03490
2006-08-01,2.14932
2006-09-01,3.18777
2006-10-01,3.35666
2006-11-01,3.08826
2006-12-01,3.28285
2007-01-01,2.95324
2007-02-01,2.71284
2007-03-01,2.61208
2007-04-01,2.52805
2007-05-01,2.50739
2007-06-01,2.45578
2007-07-01,2.19029
2007-08-01,2.96386
2007-09-01,2.41587
2007-10-01,2.05446
2007-11-01,2.23203
2007-12-01,1.57835
2008-01-01,1.36047
2008-02-01,1.03528
2008-03-01,1.17401
2008-04-01,1.24183
2008-05-01,1.28055
2008-06-01,1.08908
2008-07-01,0.29612
2008-08-01,-0.13667
2008-09-01,-0.88388
2008-10-01,-1.11403
2008-11-01,-1.62279
2008-12-01,-1.84686
2009-01-01,-1.38421
2009-02-01,-1.44615
2009-03-01,-2.09842
2009-04-01,-2.40376
2009-05-01,-2.49521
2009-06-01,-2.28808
2009-07-01,-1.48747
2009-08-01,-0.59056
2009-09-01,-0.84835
2009-10-01,-0.58408
2009-11-01,-0.43704
2009-12-01,0.46398
2010-01-01,-0.17415
2010-02-01,0.61109
2010-03-01,1.51164
2010-04-01,1.87136
2010-05-01,2.03101
2010-06-01,2.25097
2010-07-01,2.19116
2010-08-01,1.52477
2010-09-01,2.56684
2010-10-01,2.71226
2010-11-01,3.13744
2010-12-01,2.64612
2011-01-01,2.95060
2011-02-01,2.53814
2011-03-01,2.40291
2011-04-01,2.07340
2011-05-01,1.70327
2011-06-01,1.69167
2011-07-01,1.58928
2011-08-01,1.28360
2011-09-01,1.35476
2011-10-01,1.28006
2011-11-01,0.85305
2011-12-01,0.76526
2012-01-01,1.04069
2012-02-01,1.68030
2012-03-01,1.19805
2012-04-01,1.41179
2012-05-01,1.53488
2012-06-01,1.19440
2012-07-01,1.23082
2012-08-01,1.31227
2012-09-01,1.28813
2012-10-01,1.09847
2012-11-01,1.70998
2012-12-01,1.70647
2013-01-01,1.70355
2013-02-01,1.04914
2013-03-01,1.19566
2013-04-01,1.09486
2013-05-01,1.34311
2013-06-01,1.44068
2013-07-01,1.35528
2013-08-01,1.44824
2013-09-01,1.59443
2013-10-01,1.88652
2013-11-01,1.87024
2013-12-01,1.86586
2014-01-01,1.15521
2014-02-01,1.76538
2014-03-01,2.24653
2014-04-01,2.42330
2014-05-01,2.34835
2014-06-01,2.75726
2014-07-01,2.83063
2014-08-01,3.41723
2014-09-01,3.14860
2014-10-01,3.49380
2014-11-01,3.33607
2014-12-01,3.53531
2015-01-01,4.07726
2015-02-01,3.72677
2015-03-01,3.44392
2015-04-01,3.51788
2015-05-01,3.62257
2015-06-01,3.32733
2015-07-01,3.52058
2015-08-01,3.08345
2015-09-01,3.18619
2015-10-01,2.61890
2015-11-01,2.57432
2015-12-01,2.71428
2016-01-01,2.60998
2016-02-01,3.05777
2016-03-01,2.44101
2016-04-01,2.50710
2016-05-01,2.38121
2016-06-01,2.70468
2016-07-01,2.42163
2016-08-01,2.24049
2016-09-01,2.39150
2016-10-01,2.27221
2016-11-01,2.20881
2016-12-01,2.51383
2017-01-01,2.43741
2017-02-01,1.83050
2017-03-01,2.70883
2017-04-01,2.42186
2017-05-01,2.29783
2017-06-01,2.12989
2017-07-01,2.16202
2017-08-01,2.18975
2017-09-01,2.43606
2017-10-01,2.55254
2017-11-01,2.97821
2017-12-01,2.99009
2018-01-01,2.75438
2018-02-01,2.75750
2018-03-01,2.62047
2018-04-01,2.97588
2018-05-01,3.22118
2018-06-01,3.12701
2018-07-01,3.27102
2018-08-01,3.48140
2018-09-01,2.85311
2018-10-01,3.22814
2018-11-01,3.05996
2018-12-01,1.40641
2019-01-01,2.05553
2019-02-01,1.98565
2019-03-01,2.27410
2019-04-01,2.10856
2019-05-01,2.07082
2019-06-01,2.19589
2019-07-01,2.20453
2019-08-01,2.17756
2019-09-01,2.39971
2019-10-01,2.02616
2019-11-01,1.94099
2019-12-01,2.83276
2020-01-01,2.77098
2020-02-01,2.81892
2020-03-01,-4.65047
2020-04-01,-16.42973
2020-05-01,-9.57857
2020-06-01,-4.56104
2020-07-01,-3.46075
2020-08-01,-3.07514
2020-09-01,-1.91368
2020-10-01,-1.56922
2020-11-01,-2.43544
2020-12-01,-3.26313
2021-01-01,-0.79656
2021-02-01,-2.16176
2021-03-01,9.64670
2021-04-01,25.41932
2021-05-01,15.06972
2021-06-01,9.34885
2021-07-01,7.45609
2021-08-01,7.50381
2021-09-01,6.38303
2021-10-01,6.72578
2021-11-01,7.23452
2021-12-01,6.70196
2022-01-01,5.04041
2022-02-01,6.48579
2022-03-01,2.09305
2022-04-01,1.84961
2022-05-01,2.27817
2022-06-01,1.71137
2022-07-01,2.23894
